21$APL705$FINITE ELEMENT METHOD                              $B$""$4$3$0$2$100$53$2018$2
58$BBL740$PLANT CELL TECHNOLOGY                              $K$""$3$2$0$2$60$19$2018$2
59$BBL742$BIOLOGICAL WASTE TREATMENT                         $D$""$4$3$0$2$60$32$2018$2
60$BBL745$COMBINATORIAL BIOTECHNOLOGY                        $J$""$3$3$0$0$60$25$2018$2
61$BBL746$CURRENT TOPICS IN BIOCHEMICALENGINEERING AND BIOTE $H$""$3$3$0$0$60$15$2018$2
62$BBL747$BIONANOTECHNOLOGY                                  $E$""$3$3$0$0$60$22$2018$2
63$BBL749$CANCER CELL BIOLOGY                                $F$""$4.5$3$0$3$60$36$2018$2
64$BBQ301$SEMINAR COURSE   I                                 $Q$""$1$0$0$2$20$20$2018$2
65$BBQ302$SEMINAR COURSE   II                                $Q$""$1$0$0$2$20$16$2018$2
66$BBQ303$SEMINAR COURSE   III                               $Q$""$1$0$0$2$20$20$2018$2
67$BED800$MAJOR PROJECT                                      $P$""$40$0$0$80$10$1$2018$2
68$BMD802$Major Project 2 $X$PC$12$0$0$24$60$7$2018$2
69$BML735$BIOMEDICAL SIGNAL AND IMAGE PR                     $AD$PE$3$2$0$2$60$35$2018$2
70$BML737$APPLICATIONS OF MATHEMATICS IN BIOMEDICAL ENG.     $D$PC$2$2$0$0$60$16$2018$2
71$BML740$BIOMEDICAL INSTRUMENTATION                         $E$PC$3$3$0$0$60$17$2018$2
72$BML750$POINT OF CARE MEDICAL DIAG DEV                     $F$PE$3$3$0$0$60$5$2018$2
73$BML760$BIOMEDICAL ETHICS, SAFETY AND REGULATORY AFFAIRS   $B$PC$2$2$0$0$60$9$2018$2
74$BML771$Orthopaedic Device Design $H$PE$2$2$0$0$60$8$2018$2
75$BML820$BIOMATERIALS                                       $J$PE$3$3$0$0$60$8$2018$2
76$BML860$NANOMEDICINE                                       $K$PE$3$3$0$0$60$9$2018$2
77$BMP743$BASIC BIOMEDICAL LABORATORY                        $X$PC$2$0$0$4$60$7$2018$2
78$BSD895$MAJOR PROJECT(MSR)                                 $P$""$40$0$0$80$60$4$2018$2
79$CHD771$MINOR PROJECT                                      $Q$PC$4$0$0$8$60$0$2018$2
80$CHD871$MAJOR PROJECT PART 1 (CM)                          $Q$PC$6$0$0$12$60$2$2018$2
81$CHD872$MAJOR PROJECT PART II (CM)                         $Q$PC$14$0$0$28$60$1$2018$2
82$CHD873$MAJOR PROJECT PART 1 (CM)                          $Q$PC$4$0$0$8$60$0$2018$2
83$CHD874$MAJOR PROJECT PART 2 (CM)                          $Q$PC$16$0$0$32$60$0$2018$2
84$CLD411$B. TECH. PROJECT                                   $Q$DC$4$0$0$8$100$13$2018$2
85$CLD412$MAJOR PROJECT IN ENERGY & ENV.                     $Q$DE$5$0$0$10$100$5$2018$2
86$CLD413$MAJOR PROJECT IN COMPLEX FLUID                     $Q$DE$5$0$0$10$100$0$2018$2
87$CLD414$MAJOR PROJ. IN P.E, MOD. & OP.                     $Q$DE$5$0$0$10$100$0$2018$2
88$CLD415$MAJOR PROJ IN BIOP. & FINE CH.                     $Q$DE$5$0$0$10$100$3$2018$2
89$CLD771$MINOR PROJECT                                      $Q$PC$3$0$0$6$60$32$2018$2
90$CLD781$MAJOR PROJECT   I                                  $Q$PC$8$0$0$16$60$1$2018$2
91$CLD782$MAJOR PROJECT   II                                 $Q$PC$12$0$0$24$60$15$2018$2
92$CLD880$MINOR PROJECT                                      $Q$PC$4$0$0$8$60$42$2018$2
93$CLD881$MAJOR PROJECT PARTI                                $Q$PC$8$0$0$16$60$2$2018$2
94$CLD882$MAJOR PROJECT PARTII                               $Q$PC$12$0$0$24$60$39$2018$2
95$CLL121$CHEMICAL ENGG. THERMODYNAMICS                      $A$DC$4$3$1$0$100$143$2018$2
96$CLL122$CHEMICAL REACTION ENGG I                           $D$DC$4$3$1$0$100$178$2018$2
97$CLL231$FLUID MECHS. FOR CHEM. ENGINEE                     $F$DC$4$3$1$0$100$194$2018$2
98$CLL251$HEAT TRANSFER FOR CHEMICAL ENG                     $B$DC$4$3$1$0$100$187$2018$2
99$CLL271$INTRO TO INDUSTRIAL BIOTECH.                       $D$DC$3$3$0$0$100$108$2018$2
100$CLL352$MASS TRANSFER II                                   $B$DC$4$3$1$0$100$118$2018$2
101$CLL361$INSTRUMENTATION AND AUTOMATION                     $C$DC$2.5$1$0$3$100$106$2018$2
102$CLL371$CHEM. PROCESS TECH.& ECONOMICS                     $E$DC$4$3$1$0$100$127$2018$2
103$CLL402$PROCESS PLANT DESIGN                               $D$DE$3$3$0$0$50$12$2018$2
104$CLL475$SAFETY & HAZARDS IN PROC. IND.                     $B$DE$3$3$0$0$50$25$2018$2
105$CLL722$ELECTROCHEM. CONV. & STO. DEV.                     $B$""$3$3$0$0$50$36$2018$2
106$CLL727$HETERO. CATALYSIS & CATA. REA.                     $E$""$3$3$0$0$50$41$2018$2
107$CLL731$ADVANCED TRANSPORT PHENOMENA                       $A$""$3$3$0$0$60$100$2018$2
108$CLL732$ADV. CHE. ENGG. THERMODYNAMICS                     $AA$""$3$3$0$0$60$20$2018$2
109$CLL733$INDUSTRIAL MULTIPHASE REACTORS                     $H$PC,DE,PE$3$3$0$0$110$115$2018$2
110$CLL766$INTERFACIAL ENGINEERING                            $F$""$3$3$0$0$50$61$2018$2
111$CLL767$STRUCTURES & PROP. OF POLYMERS                     $B$""$3$3$0$0$50$22$2018$2
112$CLL768$FUNDAMENTALS OF COMP. FLUID DY                     $F$""$3$2$0$2$30$12$2018$2
113$CLL771$INTRODUCTION TO COMPLEX FLUIDS                     $F$""$3$3$0$0$50$32$2018$2
114$CLL772$TRANS. PHEN. IN COMPLEX FLUIDS                     $E$""$3$3$0$0$50$12$2018$2
115$CLL779$MOL. BIOTECH. & IN VITRO DIAG.                     $D$""$3$3$0$0$50$12$2018$2
116$CLL782$PROCESS OPTIMIZATION                               $E$""$3$3$0$0$50$34$2018$2
117$CLL786$FINE CHEMICALS TECHNOLOGY                          $E$""$3$3$0$0$50$56$2018$2
118$CLL788$Process Data Analytics $D$""$3$3$0$0$60$56$2018$2
119$CLL793$MEMBRANE SCIENCE & ENGINEERING                     $F$""$3$3$0$0$50$50$2018$2
120$CLP302$CHEMICAL ENGINEERING LAB   II                      $E$DC$1.5$0$0$3$100$159$2018$2
121$CLP704$TECHNICAL COMMUNICATION FOR CHEMICAL ENGINEERS     $Q$""$1$0$0$2$60$66$2018$2
122$CLQ301$SEMINAR COURSE   I                                 $P$""$1$0$0$2$35$43$2018$2
123$CLQ302$SEMINAR COURSE   II                                $Q$""$1$0$0$2$35$33$2018$2
124$CLV797$RECENT  ADV. IN CHEMICAL ENGG.                     $X$""$2$2$0$0$60$8$2018$2
125$CMD641$PROJECT PART II                                    $P$""$10$0$0$20$60$49$2018$2
126$CMD807$MAJOR  PROJECT PART   II                           $P$""$9$0$0$18$30$11$2018$2
127$CML100$INTRODUCTION TO CHEMISTRY                          $D$""$3$3$0$0$200$461$2018$2
128$CML521$MOLECULAR THERMODYNAMICS                           $C$""$3$3$0$0$60$55$2018$2
129$CML522$CHEMICAL DYNA. & SURFACE CHEM.                     $F$""$3$3$0$0$60$54$2018$2
130$CML523$ORGANIC SYNTHESIS                                  $D$""$3$3$0$0$60$55$2018$2
131$CML524$TRAN. & INNER TRAN. METAL CHE.                     $A$""$3$3$0$0$60$54$2018$2
132$CML525$BASIC ORGANOMETALIC CHEMISTRY                      $B$""$3$3$0$0$60$54$2018$2
133$CML526$STR. & FUNC. OF CELLULAR BIOM.                     $E$""$3$3$0$0$60$54$2018$2
134$CML665$BIOPHYSICAL CHEMISTRY                              $D$""$3$3$0$0$60$8$2018$2
135$CML673$Bio organic and Medicinal chemistry                $F$""$3$3$0$0$60$7$2018$2
136$CML682$Inorganic Polymers $E$PC$3$3$0$0$60$30$2018$2
137$CML724$SYNTHESIS OF INDUSTRIALLY IMPO                     $H$""$3$3$0$0$60$30$2018$2
138$CML729$MATERIAL CHARACTERIZATION                          $C$""$3$3$0$0$60$28$2018$2
139$CML737$APPLIED SPECTROSCOPY                               $E$""$3$3$0$0$60$31$2018$2
140$CML738$APPLICATIONS OF P BLOCK ELEMEN                     $B$""$3$3$0$0$60$16$2018$2
141$CML739$APPLIED BIOCATALYSIS                               $K$""$3$3$0$0$60$28$2018$2
142$CML740$CHEMISTRY OF HETEROCYCLIC COMP                     $A$""$3$3$0$0$60$33$2018$2
143$CML801$MOLECULAR MODELLING AND SIMULA                     $B$""$3$3$0$0$60$21$2018$2
144$CMP100$CHEMISTRY LABORATORY                               $P$""$2$0$0$4$1000$458$2018$2
145$CMP521$LAB III                                            $P$""$2$0$0$4$240$53$2018$2
146$CMP522$LAB IV                                             $P$""$2$0$0$4$240$53$2018$2
147$CMP728$INSTRUMENTATION LABORATORY                         $P$""$3$0$0$6$60$8$2018$2
148$COD310$MINI PROJECT                                       $P$""$3$0$0$6$40$27$2018$2
149$COD492$B.TECH PROJECT PART 1                              $P$""$6$0$0$12$120$4$2018$2
150$COD494$B.TECH PROJECT PART 2                              $P$""$8$0$0$16$120$40$2018$2
151$COD891$MINOR PROJECT                                      $P$""$3$0$0$6$80$51$2018$2
152$COD892$M.TECH PROJECT PARTI                               $P$""$7$0$0$14$40$0$2018$2
153$COD893$M.TECH PROJECT PARTII                              $P$""$14$0$0$28$50$43$2018$2
154$COD895$MSR PROJECT                                        $P$""$36$0$0$72$30$5$2018$2
155$COL100$INTRO. TO COMPUTER SCIENCE                         $B$""$4$3$0$2$600$513$2018$2
156$COL106$DATA STRUCTURES AND ALGORITHMS                     $F$""$5$3$0$4$180$206$2018$2
157$COL216$COMPUTER ARCHITECTURE                              $B$""$4$3$0$2$125$113$2018$2
158$COL226$PROGRAMMING LANGUAGES                              $F$""$5$3$0$4$140$127$2018$2
159$COL331$OPERATING SYSTEMS                                  $E$""$5$3$0$4$120$121$2018$2
160$COL352$INTRO TO AUTOMATA & TH. OF CO.                     $H$""$3$3$0$0$125$120$2018$2
161$COL362$INTRO. TO DATABASE MGMT. SYST.                     $C$""$4$3$0$2$150$115$2018$2
162$COL380$INTRO. TO PARALLEL & DIS. PRO.                     $J$""$3$2$0$2$120$122$2018$2
163$COL632$INTRODUCTION TO DATA BASESYSTEMS                   $C$""$4$3$0$2$30$15$2018$2
164$COL633$RESOURCE MANAGEMENT IN COMPUTER SYSTEMS            $E$""$4$3$0$2$30$3$2018$2
165$COL724$ADVANCED COMPUTER NETWORKS                         $D$""$4$3$0$2$40$21$2018$2
166$COL726$NUMERICAL ALGORITHMS                               $M$""$4$3$0$2$70$53$2018$2
167$COL729$COMPILER OPTIMIZATION                              $A$""$4.5$3$0$3$45$11$2018$2
168$COL740$SOFTWARE ENGINEERING                               $H$""$4$3$0$2$95$64$2018$2
169$COL758$ADVANCED ALGORITHMS                                $B$""$4$3$0$2$50$32$2018$2
170$COL772$NATURAL LANGUAGE PROCESSING                        $AA$""$4$3$0$2$30$45$2018$2
171$COL774$MACHINE LEARNING                                   $F$""$4$3$0$2$130$137$2018$2
172$COL781$COMPUTER GRAPHICS                                  $K$""$4.5$3$0$3$90$53$2018$2
173$COL786$ADVANCED FUNCTIONAL BRAIN IMG.                     $AC$""$4$3$0$2$30$20$2018$2
174$COL812$SYSTEM LEVEL DESIGN& MODELLING                     $C$""$3$3$0$0$30$6$2018$2
175$COL863$SPL. TOPICS IN THEO. COMP. SC. $AC$""$3$3$0$0$40$25$2018$2
176$COL864$SPL. TOPICS IN ARTIFICIAL INT.                     $AA$""$3$3$0$0$30$23$2018$2
177$COL872$SPL. TOPICS IN CRYPTOGRAPHY                        $AD$""$3$3$0$0$30$30$2018$2
178$COL886$Special Topics in Operating Systems $AC$""$3$3$0$0$15$6$2018$2
179$COP290$DESIGN PRACTICES                                   $P$""$3$0$0$6$120$135$2018$2
180$COP315$EMBEDDED SYSTEM DESIGN PROJECT                     $P$""$4$0$1$6$100$56$2018$2
181$COP701$SOFTWARE SYSTEMS LABORATORY                        $P$""$3$0$0$6$40$2$2018$2
182$COQ301$SEMINAR COURSE   I                                 $P$""$1$0$0$2$60$22$2018$2
183$COQ302$SEMINAR COURSE   II                                $P$""$1$0$0$2$60$29$2018$2
184$COQ303$SEMINAR COURSE   III                               $P$""$1$0$0$2$60$19$2018$2
185$COQ304$SEMINAR COURSE   IV                                $P$""$1$0$0$2$60$24$2018$2
186$COS310$INDEPENDENT STUDY (CS)                             $P$""$3$0$3$0$30$13$2018$2
187$COS799$INDEPENDENT STUDY                                  $P$""$3$0$3$0$30$6$2018$2
188$COV878$SPECIAL MODULE IN MACHINE LEA.                     $X$""$1$1$0$0$60$27$2018$2
189$COV880$SPECIAL MODULE IN PARALLEL CO.                     $X$""$1$1$0$0$30$7$2018$2
190$COV883$SPL. MODULE IN THEO. COMP. SC.                     $P$""$1$1$0$0$60$7$2018$2
191$COV884$SPL. MODULE IN ARTIFICIAL INT.                     $X$""$1$1$0$0$30$7$2018$2
192$COV887$SPL. MODULE IN HIGH SPEED NET.                     $X$""$1$1$0$0$30$22$2018$2
193$COV888$SPL. MODULE IN DATABASE SYST.                      $X$""$1$1$0$0$30$8$2018$2
194$CRD802$MINOR PROJECT                                      $A$PC$3$0$0$6$60$25$2018$2
195$CRD811$MAJOR PROJECT PART I                               $Q$PC$6$0$0$12$60$1$2018$2
196$CRD812$MAJOR PROJECT PART 2                               $Q$PC$12$0$0$24$60$22$2018$2
197$CRD814$MAJOR PROJECT III                                  $Q$PC$6$0$0$12$60$1$2018$2
198$CRL702$ARCHITECTURES AND ALGORITHMS FOR DSP SYSTEMS       $E$PC$4$2$0$4$40$27$2018$2
199$CRL704$SENSOR ARRAY SIGNAL PROCESSING                     $H$""$3$3$0$0$60$15$2018$2
200$CRL706$SONARS                                             $J$PE$3$3$0$0$60$7$2018$2
201$CRL712$RF AND MICROWAVE ACTIVE CIRCUITS                   $A$PE$3$3$0$0$60$26$2018$2
202$CRL722$RF AND MICROWAVE SOLID STATE DEVICES               $H$PE$3$3$0$0$60$10$2018$2
203$CRL724$RF AND MICROWAVE MEASUREMENT SYSTEM TECHNIQUES     $B$PC$3$3$0$0$60$27$2018$2
204$CRL732$SELECTED TOPICS IN RFDT II                         $D$PE$3$3$0$0$60$8$2018$2
205$CRV742$SPECIAL MODULE IN RADIO FREQUENCY DESIGN & TECH. I $X$""$1$1$0$0$20$20$2018$2
206$CSD411$MAJOR PROJECT PART 1 (CS)                          $P$""$4$0$0$8$40$0$2018$2
207$CSD853$MAJOR PROJECT PART 1 (CO)                          $P$""$4$0$0$8$40$0$2018$2
208$CVC772$SEMINAR IN CONSTRUCTION TECHNO                     $R$""$1$0$0$2$30$30$2018$2
209$CVD411$BTECH PROJECT PART 1                               $P$""$4$0$0$8$120$30$2018$2
210$CVD412$BTECH PROJECT PART 2                               $P$""$6$0$0$12$120$15$2018$2
211$CVD700$MINOR PROJECT                                      $P$""$3$0$0$6$5$0$2018$2
212$CVD710$MINOR PROJECT                                      $P$""$3$0$0$6$5$0$2018$2
213$CVD720$MAJOR THESIS PART I                                $M$""$6$0$0$12$24$0$2018$2
214$CVD721$MAJOR THESIS PART II                               $M$""$12$0$0$24$25$6$2018$2
215$CVD756$MINOR PROJECT IN STRUCTURAL ENGINEERING            $P$""$3$0$0$6$50$0$2018$2
216$CVD757$MAJOR PROJECT PART I (CES)                         $P$""$9$0$0$18$50$0$2018$2
217$CVD758$MAJOR PROJECT PART II (CES)                        $P$""$9$0$0$18$50$17$2018$2
218$CVD772$MAJOR PROJECT PART I (CEC)                         $P$""$9$0$0$18$50$0$2018$2
219$CVD773$MAJOR PROJECT PART II (CEC)                        $P$""$12$0$0$24$30$24$2018$2
220$CVD776$MINOR PROJECT (CET)                                $P$""$3$0$0$6$50$0$2018$2
221$CVD777$MAJOR PROJECT PART I (CET)                         $P$""$9$0$0$18$50$1$2018$2
222$CVD778$MAJOR PROJECT PART II (CET)                        $P$""$12$0$0$24$30$19$2018$2
223$CVD801$MAJOR THESIS PART II                               $P$""$12$0$0$24$25$8$2018$2
224$CVD810$MAJOR PROJECT PART I                               $P$""$6$0$0$12$30$2$2018$2
225$CVD811$MAJOR PROJECT PART II (CEU)                        $P$""$12$0$0$24$26$16$2018$2
226$CVD832$MAJOR PROJECT PART II                              $P$""$12$0$0$24$50$12$2018$2
227$CVD854$MAJOR PROJECT PART II                              $P$""$12$0$0$24$30$12$2018$2
228$CVD895$MSR MAJOR PROJECT                                  $P$""$36$0$0$72$30$2$2018$2
229$CVL100$ENVIRONMENTAL SCIENCE                              $C$""$2$2$0$0$500$550$2018$2
230$CVL212$ENVIRONMENTAL ENGINEERING                          $B$""$4$3$0$2$120$97$2018$2
231$CVL222$SOIL MECHANICS                                     $F$""$3$3$0$0$120$103$2018$2
232$CVL242$STRUCTURAL ANALYSIS I                              $D$""$3$3$0$0$120$103$2018$2
233$CVL244$CONSTRUCTION PRACTICES                             $C$""$2$2$0$0$120$95$2018$2
234$CVL261$INTRO. TO TRANSPORTATION ENGG.                     $B$""$3$3$0$0$120$100$2018$2
235$CVL281$HYDRAULICS                                         $E$""$4$3$1$0$120$101$2018$2
236$CVL313$AIR AND NOISE POLLUTION                            $F$""$3$3$0$0$40$41$2018$2
237$CVL342$STEEL DESIGN                                       $D$""$3$3$0$0$120$99$2018$2
238$CVL381$DESIGN OF HYDRAULIC STRUCTURES                     $E$""$4$3$0$2$120$94$2018$2
239$CVL382$GROUNDWATER                                        $H$""$2$2$0$0$30$43$2018$2
240$CVL422$ROCK ENGINEERING                                   $M$""$3$3$0$0$40$40$2018$2
241$CVL431$DESIGN OF FOUN. & RET. STRUCT.                     $J$""$3$3$0$0$59$42$2018$2
242$CVL443$PRESTRESSED CON. & IND. STRUC.                     $H$""$3$3$0$0$50$50$2018$2
243$CVL482$WATER POWER ENGINEERING                            $X$""$3$2$0$2$30$32$2018$2
244$CVL702$GROUND IMPROVEMENT AND GEOSYNTHETICS               $F$""$3$3$0$0$30$12$2018$2
245$CVL703$GEOENVIRONMENTAL ENGINEERING                       $J$""$3$3$0$0$30$14$2018$2
246$CVL705$SLOPES AND RETAINING STRUCTURES                    $E$""$3$3$0$0$30$15$2018$2
247$CVL706$SOIL DYNAMICS AND EARTHQUAKE GEOTECHNICAL ENGG.    $B$""$3$3$0$0$30$13$2018$2
248$CVL712$SLOPES AND FOUNDATIONS                             $C$""$3$3$0$0$30$15$2018$2
249$CVL713$ANALYSIS AND DESIGN OF UNDERGROUND STRUCTURES      $D$""$3$3$0$0$30$13$2018$2
250$CVL714$FIELD EXPLORATION AND GEOTECHNICAL PROCESSES       $E$""$3$3$0$0$30$16$2018$2
251$CVL715$EXCAVATION METHODS & UNDERGROUND SPACE TECHNOLOGY  $A$""$3$3$0$0$40$13$2018$2
252$CVL721$SOLID WASTE ENGINEERING                            $F$""$3$3$0$0$40$40$2018$2
253$CVL723$WASTE WATER ENGINEERING                            $D$""$3$3$0$0$40$24$2018$2
254$CVL724$ENVIRONMENTAL SYSTEMS ANALYSIS                     $C$""$3$3$0$0$40$41$2018$2
255$CVL727$ENVIROMENTAL RISK ASSESMENT $M$""$3$2$1$0$40$10$2018$2
256$CVL728$ENVIRONMENTAL QUALITY MODELING                     $A$""$3$3$0$0$40$36$2018$2
257$CVL734$ADVANCED HYDRAULICS                                $D$""$3$3$0$0$50$15$2018$2
258$CVL735$FINITE ELEMENT IN WATER RESOU.                     $J$""$3$3$0$0$50$12$2018$2
259$CVL743$AIRPORT PLANNING AND DESIGN                        $K$""$3$3$0$0$30$10$2018$2
260$CVL746$PUBLIC TRANSPORTATION SYSTEMS                      $L$""$3$3$0$0$30$20$2018$2
261$CVL760$THEORY OF CONCRETE STRUCTURES                      $F$""$3$3$0$0$50$20$2018$2
262$CVL761$THEORY OF STEEL STRUCTURES                         $B$""$3$3$0$0$50$22$2018$2
263$CVL762$EARTHQUAKE ANALYSIS AND DESIGN                     $A$""$3$3$0$0$50$36$2018$2
264$CVL774$CONSTRUCTION CONTRACT MGMT.                        $J$""$3$3$0$0$75$41$2018$2
265$CVL775$CONSTRUCTION ECONOMICS AND FI                      $B$""$3$3$0$0$75$50$2018$2
266$CVL776$CONSTRUCTION PRACTICES AND EQ                      $D$""$3$3$0$0$75$48$2018$2
267$CVL778$BUILDING SERVICES AND MAINTENA                     $H$""$3$3$0$0$40$6$2018$2
268$CVL811$NUMERICAL AND COMPUTER METHODS IN GEOMECHANICS     $F$""$3$3$0$0$10$0$2018$2
269$CVL830$GROUNDWATER FLOW AND POLLUTION MODELING            $F$""$3$3$0$0$50$16$2018$2
270$CVL833$WATER RESOURCES SYSTEMS                            $A$""$3$3$0$0$50$8$2018$2
271$CVL838$GEOGRAPHIC INFORMATION SYSTEMS                     $H$""$3$2$0$2$50$18$2018$2
272$CVL841$ADVANCED TRANSPORTATION MODELLING                  $H$""$3$2$0$2$10$6$2018$2
273$CVL845$VISCOELASTIC BEHAVIOR OF BITUM                     $X$""$3$3$0$0$30$5$2018$2
274$CVL847$TRANSPORTATION ECONOMICS                           $A$""$3$3$0$0$30$23$2018$2
275$CVL849$TRAFFIC FLOW MODELLING                             $M$""$3$3$0$0$30$6$2018$2
276$CVL850$TRANSPORTATION LOGISTICS                           $B$""$3$3$0$0$30$12$2018$2
277$CVL861$ANALYSIS & DESIGN OF M/C FOU.                      $E$""$3$3$0$0$50$20$2018$2
279$CVL864$STRUCTURAL HEALTH MONITORING                       $C$""$3$3$0$0$50$18$2018$2
280$CVL865$Structural Vibration Control $D$PC$3$3$0$0$50$6$2018$2
281$CVL871$DURABILITY AND REPAIR OF CONCR                     $C$""$3$3$0$0$40$8$2018$2
282$CVL874$QUALITY AND SAFETY IN CONSTRUC                     $E$""$3$3$0$0$40$11$2018$2
283$CVL875$SUSTAINABLE MATERIALS AND GREE                     $A$""$3$3$0$0$40$31$2018$2
284$CVP222$SOIL MECHANICS LABORATORY                          $E$""$1$0$0$2$120$101$2018$2
285$CVP242$STRUCTURAL ANALYSIS LABORATORY                     $P$""$1$0$0$2$100$102$2018$2
286$CVP261$TRANSPORTATION ENGG. LABORATOR                     $P$""$1$0$0$2$120$101$2018$2
287$CVP281$HYDRAULICS LABORATORY                              $P$""$1$0$0$2$120$101$2018$2
288$CVP342$STRUCTURES & MATERIAL LAB                          $P$""$1$0$0$2$120$94$2018$2
289$CVP730$SIMULATION LABORATORY I                            $P$""$1.5$0$0$3$50$11$2018$2
290$CVP731$SIMULATION LABORATORY II                           $P$""$1.5$0$0$3$50$11$2018$2
291$CVP756$STRUCTURAL ENGINEERING LAB                         $P$""$3$0$0$6$50$32$2018$2
292$CVP771$CONSTRUCTION TECHNOLOGY LABORA                     $P$""$1.5$0$0$3$40$17$2018$2
293$CVP800$GEOENVIRONMENTAL AND GEOTECHNICAL ENGINEERING LAB  $R$""$3$0$0$6$30$11$2018$2
294$CVP810$ROCK MECHANICS LABORATORY II                       $R$""$3$0$0$6$30$9$2018$2
295$CVQ301$CIVIL ENGINEERING SEMINAR                          $Q$""$1$0$0$2$120$137$2018$2
296$CVS810$INDEPENDENT STUDY (CEU)                            $P$""$3$0$0$6$10$1$2018$2
297$DSD792$DESIGN PROJECT 1                                   $P$PC$3$0$0$6$20$21$2018$2
298$DSD799$DESIGN PROJECT                                     $P$PC$4$1$0$6$20$17$2018$2
299$DSD802$MAJOR PROJECT PART II                              $P$PC$12$0$0$24$18$6$2018$2
300$DSD892$INDUSTRY/ RESEARCH DESIGN PRO.                     $P$PC$9$0$0$18$20$15$2018$2
301$DSL712$ELECTRONIC TECH. FOR SIGNAL CONDITIONING & INTERFA $E$PC$3$3$0$0$80$37$2018$2
302$DSL714$INSTRUMENT DESIGN AND SIMULATIONS                  $J$PC$3$2$0$2$20$16$2018$2
303$DSL734$LASER BASED INSTRUMENTATION                        $H$PC$3$3$0$0$30$16$2018$2
304$DSL737$DISPLAY DEVICES & TECHNOLOGY                       $K$PE$3$3$0$0$20$12$2018$2
305$DSL782$DESIGN FOR USABILITY                               $E$PE$3$2$0$2$60$33$2018$2
